Date,Open,High,Low,Close,Adj Close,Volume
2015-10-08,5.864444,6.429944,5.696888,6.283333,6.283333,16619885
2015-10-09,6.429944,6.429944,6.052944,6.178610,6.178610,2362595
2015-10-12,6.283333,6.408999,6.262388,6.388055,6.388055,953988
2015-10-13,6.408999,6.995444,6.408999,6.932610,6.932610,1808128
2015-10-14,6.953555,7.121110,6.450888,7.058277,7.058277,840067
2015-10-15,7.037333,7.121110,6.869777,6.869777,6.869777,607177
2015-10-16,6.869777,7.016388,6.639388,6.660333,6.660333,390270
2015-10-19,6.702221,6.765055,6.618444,6.702221,6.702221,2369077
2015-10-20,6.702221,6.702221,6.450888,6.576555,6.576555,283726
2015-10-21,6.450888,6.534666,6.178610,6.367110,6.367110,349997
2015-10-22,6.367110,6.429944,6.367110,6.367110,6.367110,295543
2015-10-23,6.534666,6.534666,6.367110,6.429944,6.429944,207286
2015-10-26,6.367110,6.450888,6.283333,6.408999,6.408999,125092
2015-10-27,6.283333,6.702221,6.262388,6.702221,6.702221,645923
2015-10-28,6.702221,6.702221,6.471833,6.702221,6.702221,468704
2015-10-29,6.702221,6.702221,6.534666,6.639388,6.639388,204374
2015-10-30,6.681277,6.702221,6.618444,6.702221,6.702221,224606
2015-11-02,6.702221,6.869777,6.450888,6.827888,6.827888,256452
2015-11-03,6.869777,7.100166,6.869777,7.079221,7.079221,383335
2015-11-04,7.079221,7.749444,7.079221,7.749444,7.749444,976094
2015-11-05,7.875110,8.147388,7.435277,7.665666,7.665666,669950
2015-11-06,7.665666,7.707555,7.204888,7.372444,7.372444,120437
2015-11-09,7.393388,7.414333,7.204888,7.288666,7.288666,404844
2015-11-10,7.351499,7.351499,6.890721,7.079221,7.079221,439257
2015-11-11,7.079221,7.539999,6.995444,7.539999,7.539999,182709
2015-11-12,7.519055,7.519055,7.288666,7.435277,7.435277,119566
2015-11-13,7.204888,7.414333,7.121110,7.372444,7.372444,192258
2015-11-16,7.204888,7.414333,7.121110,7.372444,7.372444,192258
2015-11-17,7.267721,7.393388,7.204888,7.393388,7.393388,796858
2015-11-18,7.393388,7.539999,7.393388,7.498110,7.498110,115925
2015-11-19,7.498110,7.875110,7.372444,7.875110,7.875110,803387
2015-11-20,7.916999,7.916999,7.267721,7.623777,7.623777,1741583
2015-11-23,7.623777,7.623777,7.246777,7.456221,7.456221,529376
2015-11-24,7.456221,7.456221,7.037333,7.288666,7.288666,521904
2015-11-25,7.142055,7.351499,7.079221,7.079221,7.079221,171000
2015-11-26,6.995444,7.246777,6.953555,7.162999,7.162999,308160
2015-11-27,7.246777,7.246777,7.037333,7.121110,7.121110,123851
2015-11-30,7.246777,7.246777,7.037333,7.121110,7.121110,123851
2015-12-01,7.037333,7.372444,7.016388,7.330555,7.330555,1004061
2015-12-02,7.372444,7.456221,7.204888,7.456221,7.456221,326637
2015-12-03,7.288666,7.539999,7.267721,7.372444,7.372444,775885
2015-12-04,7.372444,7.519055,7.183944,7.519055,7.519055,102330
2015-12-07,7.372444,7.519055,7.183944,7.519055,7.519055,102330
2015-12-08,7.225833,7.225833,7.142055,7.162999,7.162999,65936
2015-12-09,7.162999,7.351499,6.974499,7.162999,7.162999,385042
2015-12-10,7.330555,7.330555,7.037333,7.037333,7.037333,21389
2015-12-11,7.330555,7.330555,7.037333,7.037333,7.037333,21389
2015-12-14,7.121110,7.372444,7.037333,7.079221,7.079221,104502
2015-12-15,7.121110,7.162999,6.995444,7.162999,7.162999,407984
2015-12-16,7.037333,7.539999,6.953555,7.539999,7.539999,267529
2015-12-17,7.539999,7.707555,7.288666,7.288666,7.288666,204266
2015-12-18,7.288666,7.539999,7.288666,7.456221,7.456221,29769
2015-12-21,7.456221,7.539999,7.309610,7.456221,7.456221,38864
2015-12-22,7.456221,7.560944,7.372444,7.560944,7.560944,405763
2015-12-23,7.372444,7.728499,7.372444,7.728499,7.728499,237962
2015-12-28,7.728499,7.791333,7.456221,7.581888,7.581888,197713
2015-12-29,7.728499,7.791333,7.456221,7.581888,7.581888,197713
2015-12-30,7.560944,7.581888,7.456221,7.581888,7.581888,208945
2016-01-04,7.142055,7.519055,7.142055,7.456221,7.456221,44283
2016-01-05,7.288666,7.477166,7.288666,7.456221,7.456221,70567
2016-01-07,7.162999,7.435277,7.162999,7.309610,7.309610,175523
2016-01-08,7.288666,7.519055,7.288666,7.519055,7.519055,139500
2016-01-11,7.288666,7.456221,7.288666,7.456221,7.456221,211595
2016-01-12,7.183944,7.456221,7.183944,7.288666,7.288666,264915
2016-01-13,7.288666,7.456221,7.267721,7.267721,7.267721,88675
